train/loss_f,step,train/loss_b,train/time_per_it,val/logp,val/nfe
533.3217148668014,10,,,,
,10,4.3945160845751806e+20,,,
1571.8219543295056,20,,,,
,20,449.8862603362212,,,
708.4917864506003,30,,,,
,30,390.2483777792929,,,
5315.931777634088,40,,,,
,40,339.7474298390938,,,
660.0524091445013,50,,,,
,50,338.40136580988496,,,
3934.9560867787536,60,,,,
,60,324.5484276923896,,,
19452.138931068883,70,,,,
,70,1.4296907680761933e+20,,,
516.0846150962587,80,,,,
,80,307.8795336607137,,,
743.9030303064397,90,,,,
,90,293.35512676077985,,,
483.27748582597013,100,,,,
,100,4.867561604081149e+20,,,
419.35188286304646,110,,,,
,110,296.0262908979489,,,
24829.501561990302,120,,,,
,120,287.1620964067281,,,
7790.466830070709,130,,,,
,130,306.8196177760826,,,
396.99748378923914,140,,,,
,140,288.00732199846266,,,
643.9205313089808,150,,,,
,150,286.25178989544935,,,
387.5248061891439,160,,,,
,160,7.23668217504647e+20,,,
413.8814415523941,170,,,,
,170,278.6721065159927,,,
979.4134145512794,180,,,,
,180,278.92323821338385,,,
493.377483378477,190,,,,
,190,275.3522911745518,,,
444.1868813213915,200,,,,
,200,277.6105768641901,,,
508.7345570159082,210,,,,
,210,289.55623108611474,,,
496.6120502825542,220,,,,
,220,279.99765254418105,,,
1170.1979153846055,230,,,,
,230,305.3414075563804,,,
426.9272438408007,240,,,,
,240,273.42731534668883,,,
382.2928650321991,250,,,,
,250,286.52200694938426,,,
572.8175718198345,260,,,,
,260,283.10535542651917,,,
616.4404744431827,270,,,,
,270,9.883537433284186e+18,,,
696.0149005079338,280,,,,
,280,380.29396271693565,,,
334.6446172374349,290,,,,
,290,276.6501643004108,,,
555.6417835312386,300,,,,
,300,282.96988098970843,,,
2310.858309537969,310,,,,
,310,273.1519355728276,,,
513.4962968005939,320,,,,
,320,277.17020697843043,,,
972.6019143095397,330,,,,
,330,288.5239091329395,,,
66050.70282498116,340,,,,
,340,3.803217228918829e+20,,,
659.8038933093012,350,,,,
,350,281.7345854583063,,,
11033.114896522022,360,,,,
,360,268.9480266699803,,,
913.927514742821,370,,,,
,370,273.22917663490546,,,
2242.5250083799015,380,,,,
,380,274.51052228067715,,,
717.2978343396388,390,,,,
,390,266.16779114114297,,,
7635.757734278057,400,,,,
,400,271.93395526598096,,,
814.7134294145733,410,,,,
,410,272.28253350165926,,,
508.8150543120801,420,,,,
,420,326.9405253082895,,,
2297.1413135890775,430,,,,
,430,296.41576867516073,,,
717.0564796154866,440,,,,
,440,274.9556463175229,,,
515.2110140548521,450,,,,
,450,498.7609758741696,,,
1034.1050746017877,460,,,,
,460,272.5609977244494,,,
8025.911231499497,470,,,,
,470,273.3005452705753,,,
674.8811373108707,480,,,,
,480,267.5225646645096,,,
810.8773127303169,490,,,,
,490,261.8131822950496,,,
1472.8051355899972,500,,,,
,500,1.1996665631936813e+20,,,
705.094301181891,510,,,,
,510,273.97834739935655,,,
4173.249889434328,520,,,,
,520,272.20059418417924,,,
1820.426188813507,530,,,,
,530,269.21520766272687,,,
419.1701985429564,540,,,,
,540,289.25890099750825,,,
436.9023632240653,550,,,,
,550,3.0481161885189525e+20,,,
570.2828235619866,560,,,,
,560,1.9871691565038905e+20,,,
49766.537677703964,570,,,,
,570,277.45773967447593,,,
1350.061851433784,580,,,,
,580,2.342859124695428e+20,,,
473.68803649088863,590,,,,
,590,264.6092948771196,,,
355.25829533737146,600,,,,
,600,274.27841388068146,,,
463.3868950298148,610,,,,
,610,269.267726971871,,,
1027.240556558214,620,,,,
,620,270.3340932809415,,,
1503.183559182888,630,,,,
,630,267.99493836349313,,,
423.260220932635,640,,,,
,640,289.2615521332939,,,
2860.0717239375567,650,,,,
,650,266.91145257231915,,,
904.7937611013689,660,,,,
