train/loss_f,step,train/loss_b,train/time_per_it,val/logp,val/nfe,val/time_per_it,logp
435.58015307161975,10,,,,,,
,10,5.477622039420299e+20,,,,,
956.5128318451127,20,,,,,,
,20,111.72463901548258,,,,,
156.70889605395814,30,,,,,,
,30,104.24578395432286,,,,,
143.2246202840747,40,,,,,,
,40,100.808060425062,,,,,
120.38662144883045,50,,,,,,
,50,98.6205354827579,,,,,
306.28232390780124,60,,,,,,
,60,97.16808233307395,,,,,
2092.6867726118057,70,,,,,,
,70,91.84358739885792,,,,,
120.2526564387899,80,,,,,,
,80,87.70757079320052,,,,,
30497.10975638399,90,,,,,,
,90,85.82075110959515,,,,,
103.27891825659333,100,,,,,,
,100,87.76909360957754,,,,,
187.20447031932045,110,,,,,,
,110,83.20098067609354,,,,,
102.93777260153396,120,,,,,,
,120,84.35360299775421,,,,,
199.66631265554864,130,,,,,,
,130,6.459192512576983e+20,,,,,
104.35575547087107,140,,,,,,
,140,84.3544963441538,,,,,
117.94883416662017,150,,,,,,
,150,84.49117726768263,,,,,
125.95540566134791,160,,,,,,
,160,82.59847823636059,,,,,
453.3273169736176,170,,,,,,
,170,85.50145512696169,,,,,
392.773146869173,180,,,,,,
,180,84.82953870599908,,,,,
144.72668134892717,190,,,,,,
,190,83.4312429129775,,,,,
1312.2748279729174,200,,,,,,
,200,83.15671296541873,,,,,
106.25495814911864,210,,,,,,
,210,84.07676735451307,,,,,
108.63388050575074,220,,,,,,
,220,86.05526457190425,,,,,
522.2380281100482,230,,,,,,
,230,83.30431354117523,,,,,
100.81352339289111,240,,,,,,
,240,84.62608010757523,,,,,
104.86937975497825,250,,,,,,
,250,83.31605542072796,,,,,
122.48464222502278,260,,,,,,
,260,83.13930963956905,,,,,
2531.889619615906,270,,,,,,
,270,84.70413637362667,,,,,
125.26847782591247,280,,,,,,
,280,82.21835484977763,,,,,
121.6261625419231,290,,,,,,
,290,81.99117476716144,,,,,
8313.533446998532,300,,,,,,
,300,87.4254253269085,,,,,
114.17008427918458,310,,,,,,
,310,98.0393047135701,,,,,
111.63576144289259,320,,,,,,
,320,83.9470442098817,,,,,
396.63859687228455,330,,,,,,
,330,84.26411589428425,,,,,
99.332183256175,340,,,,,,
,340,94.37042239041632,,,,,
95.06522574826164,350,,,,,,
,350,80.94881054316605,,,,,
105.82259271391598,360,,,,,,
,360,82.06017068646577,,,,,
118.9012166847718,370,,,,,,
,370,82.38027091416485,,,,,
101.34967416500328,380,,,,,,
,380,80.73204577545826,,,,,
4343.110007558811,390,,,,,,
,390,80.34476777212281,,,,,
103.91607490415,400,,,,,,
,400,81.72278814143783,,,,,
3057.074677359089,410,,,,,,
,410,80.66710530378293,,,,,
113.96894559721882,420,,,,,,
,420,82.48631088512832,,,,,
106.33194183549828,430,,,,,,
,430,82.87346566839842,,,,,
566.6213319852943,440,,,,,,
,440,7.520067239986987e+20,,,,,
172.89989929103893,450,,,,,,
,450,85.76328477768075,,,,,
98.4532559331597,460,,,,,,
,460,81.61307040845875,,,,,
152.8526182112392,470,,,,,,
,470,82.90370540543215,,,,,
97.26152710955179,480,,,,,,
,480,82.09250267386363,,,,,
174.5760653645613,490,,,,,,
,490,80.73221863355403,,,,,
3033.9177102144904,500,,,,,,
,500,136.54326856705882,,,,,
104.3097820675297,510,,,,,,
,510,80.62447399899538,,,,,
103.10788980960741,520,,,,,,
,520,82.29458197592558,,,,,
167.1906297188962,530,,,,,,
,530,86.3120394214802,,,,,
104.56209543848114,540,,,,,,
,540,79.32598653546276,,,,,
137.4042715271056,550,,,,,,
,550,83.1319152939796,,,,,
102.37589863631457,560,,,,,,
,560,80.90120389609872,,,,,
601.422964501457,570,,,,,,
,570,85.0703418456724,,,,,
177.61353828683886,580,,,,,,
,580,89.57578589766732,,,,,
214.28582737616966,590,,,,,,
,590,82.71681066080292,,,,,
208.720590704732,600,,,,,,
,600,88.0649352678347,,,,,
732.5731583834629,610,,,,,,
,610,80.86557220568058,,,,,
4878.540453465991,620,,,,,,
,620,84.002800629138,,,,,
120.13949697758918,630,,,,,,
,630,1.580627310774312e+20,,,,,
96.55677787458862,640,,,,,,
,640,8.869583965199092e+20,,,,,
100.39204321831093,650,,,,,,
,650,80.82606901453386,,,,,
104.90488489695,660,,,,,,
,660,80.56420898198832,,,,,
101.46176871699853,670,,,,,,
,670,82.69742466169825,,,,,
99.46204042196864,680,,,,,,
,680,81.13758378338659,,,,,
97.17831278090455,690,,,,,,
,690,79.93007916472942,,,,,
111.07100567222307,700,,,,,,
,700,82.19113934703633,,,,,
154.34544416449185,710,,,,,,
,710,106.94835292642156,,,,,
92.68333590322487,720,,,,,,
,720,82.31897957124858,,,,,
119.49663238306067,730,,,,,,
,730,81.63668692338528,,,,,
377.17121595521996,740,,,,,,
,740,80.3297891297615,,,,,
128.8725172955653,750,,,,,,
,750,81.23958722603658,,,,,
93.71196815820866,760,,,,,,
,760,82.2996831012525,,,,,
198.90788897402075,770,,,,,,
,770,78.56331939614826,,,,,
104.69898826965509,780,,,,,,
,780,77.69212069298797,,,,,
95.88823712019217,790,,,,,,
,790,81.32996004079254,,,,,
1372.3529486533562,800,,,,,,
